Year,Metric Tons
1950,"30,932"
1951,29169
1952,32734
1953,31443
1954,32192
1955,29873
1956,28678
1957,27487
1958,25022
1959,23741
1960,22217
1961,23638
1962,20546
1963,22075
1964,22936
1965,20653
1966,19690
1967,23692
1968,24554
1969,20523
1970,20697
1971,22607
1972,21623
1973,20563
1974,20469
1975,21499
1976,21778
1977,19446
1978,21318
1979,19459
1980,20016
1981,21141
1982,22143
1983,21181
1984,20880
1985,19542
1986,17753
1987,13716
1988,11843
1989,10716
1990,10115
1991,10030
1992,12433
1993,12885
1994,12379
1995,12724
1996,13636
1997,13194
1998,11910
1999,13256
2000,13575
2001,13111
2002,12102
2003,13367
2004,9903
2005,9278
2006,9195
2007,10949
2008,9795
2009,10601
2010,8993
2011,10289
2012,11481
2013,11812
2014,11265
2015,11403
2016,10069
2017,11148
2018,9828
2019,8747
2020,6668
